datatrimestre,valorPix,valorTED,quantidadePix,quantidadeTED,quantidadeCheque,quantidadeBoleto
2019-03,0.0,503938073.0,0.0,19972726.0,13962122.0,102058381.0
2019-06,0.0,570073979.0,0.0,23264416.0,13815892.0,107681311.0
2019-09,0.0,628570144.0,0.0,27665606.0,13832267.0,115511273.0
2019-12,0.0,656004273.0,0.0,3243499.0,13472584.0,11903978.0
2020-03,0.0,665213513.0,0.0,3293862.0,11523783.0,118451067.0
2020-06,0.0,626700416.0,0.0,38138651.0,8535507.0,125681205.0
2020-09,0.0,750398224.0,0.0,5411577.0,8696627.0,138921555.0
2020-12,14989491.0,803670532.0,17620665.0,57487966.0,9159482.0,147286882.0
2021-03,62504652.0,789441416.0,86233786.0,35417147.0,7940962.0,13860806.0
2021-06,11057352.0,856678727.0,187156388.0,33391774.0,7541798.0,143142743.0
2021-09,155691622.0,925704628.0,286333694.0,29620034.0,801108.0,149363816.0
2021-12,191641868.0,980729311.0,38362856.0,29406373.0,7775286.0,149770481.0
2022-03,206782655.0,950715834.0,425002375.0,25689393.0,7147943.0,149093441.0
2022-06,25433844.0,1044957467.0,544744822.0,25458779.0,7014114.0,151709279.0
2022-09,293641395.0,1043776316.0,652860208.0,25668013.0,6853783.0,153836706.0
2022-12,334291367.0,1038212163.0,780716493.0,25428985.0,6297172.0,152248364.0
2023-03,344719557.0,991960284.0,811639331.0,22874399.0,5783055.0,151081752.0
2023-06,390037722.0,1065746313.0,939657883.0,21881911.0,5633937.0,14941623.0
2023-09,446952957.0,996025189.0,1111694786.0,21771765.0,5441039.0,14870235.0
2023-12,53001550.0,1009092181.0,1304566989.0,22647115.0,5210115.0,145243016.0
2024-03,542930543.0,965162556.0,1357545559.0,20371416.0,4646888.0,142269013.0
2024-06,628429605.0,1066255573.0,1535689092.0,20326958.0,4498197.0,143906028.0
2024-09,697642947.0,1118021768.0,1654642727.0,20339426.0,4424373.0,146666926.0
2024-12,771412367.0,1164726567.0,1796082967.0,21101752.0,4151128.0,145909804.0
2025-03,747294956.0,1076768614.0,1754003511.0,18547604.0,3757443.0,139636877.0
2025-06,836879195.0,1139285571.0,193856137.0,19110541.0,3580116.0,14139404.0
